iter	Passed	Remaining
814	63804	7764994
815	63881	7764757
816	63961	7764895
817	64033	7763975
818	64115	7764450
819	64197	7764772
820	64282	7765463
821	64366	7766120
822	64444	7765947
823	64538	7767755
824	64613	7767342
825	64696	7767749
826	64783	7768793
827	64861	7768601
828	64941	7768816
829	65018	7768574
830	65105	7769463
831	65188	7769979
832	65268	7770057
833	65355	7771076
834	65427	7770258
835	65503	7769880
836	65580	7769607
837	65652	7768769
838	65732	7768864
839	65805	7768189
840	65886	7768466
841	65958	7767558
842	66039	7767874
843	66117	7767702
844	66197	7767851
845	66272	7767412
846	66356	7767899
847	66434	7767805
848	66519	7768480
849	66599	7768644
850	66679	7768790
851	66762	7769267
852	66843	7769409
853	66920	7769240
854	67003	7769697
855	67086	7770079
856	67163	7769863
857	67245	7770230
858	67319	7769633
859	67399	7769766
860	67477	7769651
861	67557	7769731
862	67631	7769104
863	67700	7768046
864	67781	7768254
865	67856	7767795
866	67933	7767524
867	68016	7767952
868	68097	7768183
869	68181	7768809
870	68273	7770197
871	68364	7771558
872	68447	7772026
873	68522	7771585
874	68600	7771485
875	68680	7771554
876	68759	7771598
877	68830	7770655
878	68911	7770892
879	68994	7771235
880	69076	7771637
881	69155	7771565
882	69230	7771156
883	69318	7772165
884	69394	7771824
885	69461	7770457
886	69535	7769812
887	69610	7769431
888	69682	7768659
889	69757	7768139
890	69835	7768089
891	69914	7768026
892	70001	7768888
893	70078	7768672
894	70158	7768752
895	70237	7768779
896	70315	7768676
897	70396	7768881
898	70473	7768594
899	70558	7769284
900	70688	7774908
901	70801	7778564
902	70872	7777634
903	70942	7776626
904	71047	7779539
905	71152	7782272
906	71240	7783310
907	71319	7783283
908	71400	7783417
909	71485	7784019
910	71558	7783363
911	71634	7783061
912	71718	7783486
913	71794	7783174
914	71873	7783107
915	71965	7784578
916	72043	7784394
917	72132	7785408
918	72210	7785246
919	72283	7784667
920	72364	7784811
921	72443	7784781
922	72515	7783938
923	72595	7784078
924	72673	7783883
925	72760	7784745
926	72834	7784209
927	72925	7785377
928	72996	7784533
929	73076	7784622
930	73156	7784733
931	73229	7783981
932	73321	7785371
933	73409	7786310
934	73489	7786372
935	73566	7786140
936	73639	7785414
937	73714	7784987
938	73790	7784663
939	73859	7783567
940	73934	7783044
941	74016	7783401
942	74096	7783401
943	74175	7783420
944	74249	7782885
945	74323	7782250
946	74407	7782721
947	74485	7782607
948	74558	7781967
949	74638	7782050
950	74717	7782026
951	74801	7782473
952	74878	7782262
953	74955	7781964
954	75034	7782003
955	75108	7781399
956	75185	7781146
957	75252	7779943
958	75325	7779260
959	75399	7778758
960	75482	7779140
961	75558	7778711
962	75629	7777886
963	75714	7778479
964	75793	7778482
965	75867	7777892
966	75943	7777572
967	76019	7777187
968	76099	7777310
969	76182	7777719
970	76266	7778130
971	76345	7778136
972	76418	7777460
973	76496	7777373
974	76577	7777537
975	76649	7776820
976	76730	7776972
977	76811	7777116
978	76887	7776781
979	76964	7776571
980	77055	7777698
981	77133	7777595
982	77221	7778519
983	77301	7778582
984	77385	7778974
985	77474	7780026
986	77556	7780249
987	77640	7780685
988	77734	7782197
989	77808	7781598
990	77888	7781707
991	77965	7781412
992	78039	7780928
993	78120	7781111
994	78192	7780394
995	78284	7781567
996	78362	7781434
997	78436	7780888
998	78505	7779948
999	78583	7779799
1000	78666	7780087
1001	78748	7780400
1002	78823	7779904
1003	78901	7779832
1004	78980	7779795
1005	79058	7779627
1006	79135	7779399
1007	79214	7779357
1008	79301	7780152
1009	79379	7779952
1010	79454	7779592
1011	79534	7779638
1012	79607	7778980
1013	79684	7778755
1014	79762	7778624
1015	79834	7777937
1016	79914	7777994
1017	79998	7778372
1018	80078	7778467
1019	80164	7779067
1020	80242	7778980
1021	80325	7779334
1022	80404	7779271
1023	80480	7778910
1024	80561	7779086
1025	80644	7779478
1026	80721	7779171
1027	80798	7778988
1028	80923	7783340
1029	81024	7785457
1030	81104	7785440
1031	81183	7785478
1032	81264	7785621
1033	81342	7785416
1034	81427	7785953
1035	81505	7785815
1036	81578	7785229
1037	81654	7784912
1038	81725	7784093
1039	81806	7784226
1040	81890	7784587
1041	81968	7784518
1042	82058	7785508
1043	82140	7785737
1044	82229	7786598
1045	82308	7786532
1046	82388	7786663
1047	82468	7786697
1048	82549	7786795
1049	82623	7786249
1050	82701	7786095
1051	82776	7785723
1052	82849	7785143
1053	82928	7785066
1054	83003	7784659
1055	83086	7784975
1056	83168	7785160
1057	83247	7785092
1058	83331	7785562
1059	83405	7785044
1060	83493	7785801
1061	83575	7786083
1062	83652	7785844
1063	83740	7786622
1064	83816	7786254
1065	83900	7786665
1066	83980	7786771
1067	84061	7786861
1068	84132	7786084
1069	84215	7786382
1070	84298	7786745
1071	84386	7787479
1072	84465	7787400
1073	84556	7788501
1074	84630	7787979
1075	84712	7788242
1076	84797	7788685
1077	84879	7788871
1078	84958	7788850
1079	85041	7789182
1080	85116	7788737
1081	85192	7788402
1082	85276	7788857
1083	85350	7788274
1084	85426	7787945
1085	85502	7787653
1086	85578	7787334
1087	85656	7787219
1088	85731	7786749
1089	85806	7786335
1090	85879	7785710
1091	85957	7785621
1092	86035	7785487
1093	86112	7785258
1094	86189	7785039
1095	86273	7785405
1096	86353	7785445
1097	86436	7785742
1098	86516	7785807
1099	86590	7785293
1100	86667	7785054
1101	86743	7784717
1102	86826	7785037
1103	86946	7788637
1104	87049	7790723
1105	87131	7790953
1106	87206	7790516
1107	87282	7790211
1108	87364	7790375
1109	87433	7789491
1110	87505	7788748
1111	87581	7788450
1112	87724	7794103
1113	87812	7794780
1114	87883	7794055
1115	87964	7794138
1116	88038	7793622
1117	88115	7793451
1118	88193	7793298
1119	88271	7793136
1120	88351	7793103
1121	88426	7792748
1122	88497	7791926
1123	88585	7792643
1124	88660	7792230
1125	88736	7791909
1126	88808	7791295
1127	88883	7790896
1128	88962	7790793
1129	89039	7790605
1130	89126	7791209
1131	89208	7791388
1132	89288	7791387
1133	89370	7791640
1134	89442	7790993
1135	89524	7791167
1136	89605	7791280
1137	89686	7791360
1138	89761	7790936
1139	89840	7790893
1140	89923	7791199
1141	90002	7791146
1142	90070	7790115
1143	90154	7790465
1144	90231	7790229
1145	90316	7790702
1146	90393	7790478
1147	90477	7790858
1148	90555	7790675
1149	90637	7790849
1150	90712	7790476
1151	90793	7790572
1152	90893	7792330
1153	90983	7793196
1154	91061	7793037
1155	91136	7792675
1156	91222	7793149
1157	91299	7792945
1158	91384	7793349
1159	91467	7793682
1160	91544	7793388
1161	91615	7792706
1162	91699	7792997
